date,product,sales,quantity
2026-08-04,travel-adapter,11342,3
2026-08-05,travel-adapter,11619,3
2026-08-06,travel-adapter,11912,3
2026-08-07,travel-adapter,9397,2
2026-08-08,travel-adapter,12038,3
2026-08-09,travel-adapter,12054,3
2026-08-10,travel-adapter,11626,3
2026-08-11,travel-adapter,11382,3
2026-08-12,travel-adapter,10516,3
2026-08-13,travel-adapter,9556,2
2026-08-14,travel-adapter,12182,3
2026-08-01,bag,17704,4
2026-08-02,bag,14353,4
2026-08-03,bag,16246,4
2026-08-04,bag,15180,4
2026-08-05,bag,17564,4
2026-08-06,bag,17003,4
2026-08-07,bag,16042,4
2026-08-08,bag,13455,3
2026-08-09,bag,16147,4
2026-08-10,bag,17676,4
2026-08-11,bag,13356,3
2026-08-12,bag,13892,3
2026-08-13,bag,16114,4
2026-08-14,bag,13599,3
